Restaurant,Reviewer,Review,Rating,Time,VADER_Score,Sentiment
Beyond Flavours,Rusha Chakraborty,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friend parent waiter soumen da really courteous helpful,5.0,2019-05-25 15:54:00,0.9664,2
Beyond Flavours,Anusha Tirumalaneedi,ambience good pleasant evening service prompt food good good experience soumen da kudos service,5.0,2019-05-25 14:20:00,0.936,2
Beyond Flavours,Ashok Shekhawat,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing,5.0,2019-05-24 22:54:00,0.9186,2
Beyond Flavours,Swapnil Sarkar,soumen da arun great guy behavior sincerety good food course would like visit place,5.0,2019-05-24 22:11:00,0.8591,2
Beyond Flavours,Dileep,food goodwe ordered kodi drumstick basket mutton biryani good thanks pradeep served well enjoyed ambience also good,5.0,2019-05-24 21:37:00,0.9201,2
Beyond Flavours,Nagabhavani K,ambiance good service good food apradeecp subro best service food good papiya good hostess ur caption good star restaurant,5.0,2019-05-24 15:22:00,0.9565,2
Beyond Flavours,Jamuna Bhuwalka,nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place,5.0,2019-05-24 01:02:00,0.7264,2
Beyond Flavours,Sandhya S,well reading many review finally visited placeambience good coming food crispy corn nice tawa fish ok basket biryani disappointed u biryani ok flattering claimed staff polite prompt especially pradeep suman,4.0,2019-05-23 15:01:00,0.2329,2
Beyond Flavours,Akash Thorat,excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinner party,5.0,2019-05-22 23:12:00,0.9638,2
Beyond Flavours,Smarak Patnaik,came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care u,5.0,2019-05-22 22:37:00,0.9831,2
Beyond Flavours,Saubhagya Bhuyan,service great food awesome service staff manab papiya courteous attentive would like come frequently place,5.0,2019-05-22 22:22:00,0.9359,2
Beyond Flavours,Srivaths07,good ambience amazing food good service friendly staff pradeep papiya shuvro definitely visit loved design menu card,5.0,2019-05-22 21:43:00,0.9737,2
Beyond Flavours,Kunj Mishra,food good soup expected starter ordered honey chilli lotus stem must try vegan ppl service great frequent visit papiya know experience also food really impressive,5.0,2019-05-22 21:29:00,0.8976,2
Beyond Flavours,Pradeep Vetapalem,food good telangana kodiak fry must trymutton biriyani goodpapiya helped choose best dish attended wellmust visit,5.0,2019-05-22 21:21:00,0.7964,2
Beyond Flavours,Kankaria.ritu,ordered corn cheese ball manchow soup paneer shashlik sizzler sizzler stale paneer smelling waiter impolite even accept mistake never going,1.0,2019-05-22 21:19:00,-0.4882,0
Beyond Flavours,Abhay Sharma,food ambience fantastic waiter manav maji really quick service cheese ball must try starter scrumptious,5.0,2019-05-22 20:38:00,0.5256,2
Beyond Flavours,Shubham Jaiswal,came lunch food good tasty tried buffet item veg nonveg tasty ambience service also good staff courteous shubhamtraveltaleswordpresscom,4.0,2019-05-22 19:54:00,0.8442,2
Beyond Flavours,Srijani Mukherjee,best thing place food favorite go dish definitely alfredo pasta although item good well service behavior staff topnotch attended mr soumen da extremely polite definitely visit soon,5.0,2019-05-22 19:47:00,0.9485,2
Beyond Flavours,Hari Jangam,polite friendly staff nice ambience good spread menu drink awesome service good manav looking forward seeing,5.0,2019-05-22 15:13:00,0.9423,2
Beyond Flavours,Suneet Soni,food really good vegetarian item including paneer mushroom kofta additionally service papiya shuvro really good,5.0,2019-05-21 22:08:00,0.7496,2
Beyond Flavours,Little Chef Chika,beautiful cozy classy time place truly recommended special day percent corporate discount treat cotorie well without burning hole ur pocket also interior done well love vibe menu honey chilli lotus stem basket biryani sizzling brownie favourite also loved tomato basil shorba different creamy standard restaurant im definitely making visit beyond flavour special mention papiya hostess evening excellent service,5.0,2019-05-21 22:06:00,0.9901,2
Beyond Flavours,Sneha Munigela,please good quite expensive coming taste rate cant click better picture wen visit nightbest day time pic,4.0,2019-05-21 20:17:00,-0.1303,2
Beyond Flavours,Sneha Sarkar,service good fast even people polite well behaving manav pradeep good hope everyone behaves way,4.0,2019-05-21 10:53:00,0.8768,2
Beyond Flavours,Tony,farewell feast recently enjoyed well good management boy gave complimentary food made u happy food perfect dessert starter wonderful,5.0,2019-05-21 05:43:00,0.9734,2
Beyond Flavours,Amritap Datta,excellent experience mouthwatering food good ambience must go place hyderabad served shubhro papiya awesome behaviour enjoyable evening friend,5.0,2019-05-20 23:33:00,0.9493,2
Beyond Flavours,Imteja7,place good live music superb beautiful voice food nice n loved lightningentrance also nice,5.0,2019-05-20 14:17:00,0.9403,2
Beyond Flavours,Nisha Gahlawat,sonalin great voice must visit place became fan food good star side live music lightening everything awesome,5.0,2019-05-20 12:45:00,0.8885,2
Beyond Flavours,Dharini Hombal,heard voiceshe beautiful amazing voice love voice way sings became fan sonalin priyadarshini good place must visit food also nice,5.0,2019-05-20 12:30:00,0.9524,2
Beyond Flavours,Ankita Sinha,sonalin good singer city beautiful face beautiful face must visit place beautiful live music loved loved food well good lightning,5.0,2019-05-20 12:25:00,0.9817,2
Beyond Flavours,Ppck2412,food descent enough desert option also good starrers also tasty one bad experience ee waiting time even though booked table prior time,4.0,2019-05-20 12:11:00,-0.1531,2
Beyond Flavours,Pragya Sarda,short review decent bread starter bad shaam savera little screwed daal makhni oneoff case better ambience night importantly good quantity wanted give thats option extensive ambience better night friend day didnt like much prefer ambience go night food ordered hara bhara kebab shaam savera daal makhni rotis raita yes im vegetarian good part quantity excited see shaam savera menu take want order close messed real bad especially color daal makhni big chunk garlic clove spoiled wasnt creamy bread raita decent hara bhara kebab decent soft extra outer coating peanut youre peanut fan kebab ask skip step conclusion looked like made food hurry would like give place another try hoping mine one odd case thing change youll know,3.0,2019-05-20 00:35:00,-0.3471,1
Beyond Flavours,Anindya,excellent food good service soumen da ambience good live music food served timely decor restaurant amazing well,5.0,2019-05-19 22:57:00,0.9431,2
Beyond Flavours,Santhosh Reddyy,review place would star ambeince service staff lack lot place even though food good place like special hey papiya shuvro,5.0,2019-05-19 22:46:00,0.8122,2
Beyond Flavours,Piyali Mahapatra,nice experience food amazing friendly staff welcoming attitude papia friendly accommodating good ambiance definitely recommend place,5.0,2019-05-19 22:32:00,0.9729,2
Beyond Flavours,Mehak Malhotra,dinner friend menu perfect something everyone service awesome papia accommodating good ambience amazing live music back definitely,5.0,2019-05-19 22:29:00,0.9677,2
Beyond Flavours,Pradeep Kumar Gupta,service experience good especially papiya food served good tasty served well would like visit beyond recommend friend food reasonable price,5.0,2019-05-19 21:52:00,0.9446,2
Beyond Flavours,Shubham Singh Chauhan,service food ambiance nice staff humble taking order serving food live music like cherry cake,5.0,2019-05-19 21:30:00,0.6801,2
Beyond Flavours,Prerna Mund,food ordered banjara tangdi starter best among papiya shuvro well mannered service best among,5.0,2019-05-19 21:26:00,0.8885,2
Beyond Flavours,Pranith Patro,staff polite responsive food best part better ambience also awesome met two person named papiya shuvro best service food item liked basket biryani kodi drum stick finally loved,5.0,2019-05-18 21:54:00,0.9766,2
Beyond Flavours,Sai Raj Kiran,came parent ordered thai peneer tikka kaju pulao veg biryani kaju pulao veg biryani really good decent place go family shubro papiya served well,4.0,2019-05-18 15:54:00,0.6478,2
Beyond Flavours,Razeen,well new hyderabad fact say probably best place ive eaten buffet hyderabad period especially id like thank shurvo papiya amazing service double metha good overall worthwhile experience,5.0,2019-05-18 15:53:00,0.9622,2
Beyond Flavours,Prasanna,wonderful place awesome ambience best visit night see pretty light enjoy savory food shubro papiya good service,5.0,2019-05-18 15:18:00,0.9694,2
Beyond Flavours,Jeevith Reddy,good ambience great serviceweve buffet peoplethe waiter patient even got noodle replaced since one served buffet went bad shoutout shubro pradeep took care entire afternoon,4.0,2019-05-18 15:06:00,0.7717,2
